item_id,brand,mpn,gtin,upc,ean,title,asin_or_upc,gtin_mpn
v1|127385411367|0,,,,,,iHome Idl91 Dual Charging Stereo FM Clock Radio With Lightning Dock,0,0
v1|396506947108|0,,,,,,"JBL Go 4, Ultra-Portable Bluetooth Speaker",0,0
v1|326827295256|0,,,,,,"JBL Partybox Encore Essential, Portable Party Speaker ",0,0
v1|306334372356|0,,,,,,"Element Electronics E450AD70G 70"" 4K UHD HDR Frameless Google TV",0,0
v1|297099560117|594743034347,,,,,,DIY Bluetooth Speaker Kit Assembly Component for Electronics Project Practice,594743034347,594743034347
v1|236379352037|0,,,,,,LG  xboom Stage 301 Bluetooth Speaker - Black,0,0
v1|305640702424|0,,,,,,EXORUX Wearable Waterproof Mini Bluetooth Speaker  Magnetic Clip-On Built-in Mic,0,0
v1|127170452466|0,,,,,,"LG Electronics 55"" LED LCD Hospitality TV 4K 55UT340H0UA ❤️️✅❤️️✅ NEW WARRANTY",0,0
v1|317472561843|0,,,,,,New JBL Clip 5 Portable Waterproof Bluetooth Speaker | Black,0,0
v1|376651861706|0,,,,,,JBL Flip 7 Portable Waterproof Wireless Bluetooth Speaker black Sealed SHIPS UPS,0,0
v1|204891568645|505563358840,,,,,,"Onyx Studio 7, Portable Stereo Bluetooth Speaker",505563358840,505563358840
v1|397181523495|0,,,,,,Altec Lansing HydraBlast Bluetooth Speaker- Black,0,0
v1|167591618707|0,,,,,,Samsung 32 inch Class Q8F Series QLED 4K UHD HDR Smart TV  – 2025 Model,0,0
v1|204591209137|0,,,,,,Bracketron Mobile Electronics IPod Docking Kit NIB Universal Pro Series,0,0
v1|357647484945|0,,,,,,Craig Electronics Blue Green 9-Inch Swivel Screen DVD Player,0,0
v1|205117932981|505903308418,,,,,,JBL Clip 5 Waterproof Portable Rechargeable Bluetooth Speaker [Pick Your Color],505839610694,505839610694
v1|317339732939|0,,,,,,3000W Portable Bluetooth Speaker Sub Woofer Heavy Bass Sound System Party & Mic,0,0
v1|116836802071|0,,,,,,"Samsung GX GXE1395 13"" Retro Gaming TV, Tested And Working ",0,0
v1|336079965904|0,,,,,,Google Nest Mini 1st Generation Bluetooth Speaker Chalk Gray Wireless 1716,0,0
v1|235016045712|0,,,,,,JBL Go3 Wireless Speaker - Teal,0,0
v1|406295747915|0,,,,,,"JBL Xtreme 4 Portable Bluetooth Speaker, Deep Bass -Waterproof & Powerbank Black",0,0
v1|286788387529|0,,,,,,"Samsung QN85QN800DFXZA 85"" Neo QLED 8K Smart TV with AI Motion Enhancer (2024)",0,0
v1|326745103385|0,,,,,,Portable Mini Speaker USB Wired Small Speaker 3.5mm Aux Input Jack NEW,0,0
v1|156919738107|0,,,,,,"JBL Charge 5, Portable Waterproof Speaker with Powerbank",0,0
